Node,Longitude,Latitude,Node_Number
Heritage Hotel,120.992405,14.536709,1
SM MOA Globe EDSA,120.983438,14.535123,2
City of Dreams,120.99066,14.52384,3
Pitx,120.991283,14.50936,4
EDSA Taft Avenue,120.999887,14.537281,5
Tramo,120.968356,14.465484,6
Alabang,121.045226,14.416794,7
SM Center Muntinlupa,121.046443,14.377732,8
Sucat Exit,121.044772,14.453426,9
SM City Sucat,120.993762,14.484858,10
Sto. Nino,120.998397,14.502101,11
NAIA Terminal 1,121.00429,14.50709,12
NAIA Terminal 2,121.012201,14.510326,13
NAIA Terminal 4,121.000944,14.524833,14
NAIA Terminal 3,121.01346,14.52116,15
Bicutan Exit,121.04532,14.487789,16
Taguig District Hospital / FTI,121.03398,14.510504,17
Nichols,121.026571,14.523581,18
Magallanes Bus Stop,121.017161,14.540546,19
Antonio Arnaiz Avenue,120.990943,14.545853,20
Gil Puyat Avenue,120.98947,14.551892,21
Ospital Ng Maynila,120.985072,14.563927,22
Bayview,120.977873,14.578589,23
Intramuros / Anda Circle,120.970963,14.590322,24
Recto Avenue,120.964837,14.599365,25
Moriones Street,120.960921,14.609207,26
Capulong Street,120.959676,14.620005,27
5Th Avenue Cor. R10,120.955696,14.639666,28
MMDA Navotas Bus Terminal,120.94784,14.65121,29
Dagat Dagatan,120.961769,14.657385,30
Lapu-Lapu Avenue,120.963818,14.654614,31
A.Mabini Avenue,120.974386,14.645022,32
5Th Avenue - Caloocan,120.983489,14.644638,33
Monumento,120.983786,14.657257,34
Victoneta Avenue,120.984284,14.665478,35
Karuhatan Road,120.974182,14.689756,36
Gov Santiago,120.964498,14.692668,37
T Santiago,120.959907,14.709288,38
Malanday,120.957346,14.716984,39
Abad Santos,120.981166,14.630811,40
Blumentritt Road,120.982808,14.623087,41
Tayuman,120.982647,14.616973,42
Doroteo Jose - Recto,120.981896,14.603736,43
Lawton,120.979495,14.594223,44
United Nations Avenue,120.985099,14.582155,45
Quirino Avenue - Manila,120.99163,14.56989,46
Buendia,120.99771,14.5543,47
Libertad,120.998558,14.5478,48
Buendia Avenue,121.007967,14.557832,49
Ayala Avenue,121.015329,14.561017,50
Glorietta 5,121.027084,14.551484,51
Arnaiz Avenue,121.011036,14.551247,52
Diego Silang Footbridge,121.056354,14.527642,53
Upper McKinley Road,121.055732,14.540655,54
Market Market,121.05635,14.54886,55
Anastacio Road,121.046301,14.558776,56
Cavalry Drive.,121.061654,14.557582,57
Pasig Palengke,121.083296,14.558855,58
Pasig Rotonda - Jollibee,121.076028,14.565843,59
Pasig Boulevard,121.070452,14.565734,60
Rizal Medical Center,121.065489,14.563927,61
Dahlia,121.064777,14.571736,62
Capitol Commons,121.061585,14.57454,63
EDSA-Shaw,121.053908,14.580967,64
Shaw Center Mall,121.037014,14.589451,65
Kalentong,121.026975,14.59373,66
Isetann Recto,120.985034,14.603124,67
Nagtahan,120.999996,14.601026,68
Old Sta. Mesa Street,121.011561,14.60222,69
V.Mapa,121.017252,14.604133,70
J. Ruiz,121.026045,14.610474,71
Gilmore,121.034167,14.613443,72
Robinsons Magnolia,121.0379,14.61554,73
Betty Go-Belmonte,121.042771,14.61851,74
Bonny Serrano Avenue,121.039322,14.607365,75
Robinsons Galleria,121.058378,14.593005,76
Emerald Avenue,121.063082,14.589246,77
C-5 Ortigas,121.07956,14.589657,78
Julia Vargas Avenue,121.077146,14.582919,79
Lanuza Avenue,121.073864,14.57808,80
Rosario,121.085006,14.590483,81
Luckygold Plaza,121.094357,14.589898,82
SM City East Ortigas,121.105079,14.588494,83
Calle Industria,121.079206,14.605262,84
Quirino Memorial Medical Center,121.073499,14.621785,85
Katipunan Avenue,121.074334,14.631907,86
UP Town Center,121.074303,14.648344,87
FEU,120.985407,14.604673,88
Arsenio H. Lacson Avenue,120.992771,14.609396,89
Espana,120.996245,14.612998,90
Blumentritt - Sampaloc,120.998604,14.615165,91
Banawe,121.008273,14.623536,92
Araneta Avenue - Quezon,121.013181,14.627942,93
Centris Station (EDSA / Quezon Avenue),121.037474,14.644294,94
GMA-Kamuning MRT,121.044568,14.632842,95
Philcoa,121.053173,14.653543,96
Batasan,121.08692,14.685699,97
Litex,121.08761,14.69919,98
Filinvest 2,121.097746,14.689243,99
Northview,121.104698,14.684298,100
Regalado Avenue,121.069156,14.706595,101
Zabarte Road,121.047385,14.731079,102
SM Fairview,121.061118,14.735482,103
Amparo,121.080333,14.746165,104
Pangarap,121.08669,14.761115,105
Malaria,121.07984,14.76956,106
Novaliches Terminal,121.041535,14.727613,107
Novaliches Market,121.039746,14.721408,108
Quirino Avenue - Quezon,121.028159,14.690483,109
Tandang Sora - Mindanao,121.031957,14.677222,110
Mindanao - Congressional,121.033819,14.668324,111
Veterans Memorial Medical Center,121.036162,14.659429,112
SM North EDSA,121.029079,14.656069,113
Roosevelt - Quezon,121.021359,14.657729,114
Shorthorn Street,121.02258,14.66354,115
Visayas Avenue,121.042675,14.671926,116
Tandang Sora - Congressional,121.048924,14.673208,117
Marikina Bayan,121.094216,14.635846,118
Nangka,121.108228,14.669524,119
SM Marikina,121.084217,14.624271,120
Sta. Lucia East Grand Mall Cainta,121.099849,14.620192,121
Quiapo,120.983981,14.598742,122
VGC,120.992663,14.708415,123
Diamond Road,121.017045,14.720286,124
Quezon Memorial Circle,121.04932,14.651482,125
Cubao,121.049924,14.621658,126
Bayani Road,121.050857,14.517894,127
Chinese General Hospital,120.988131,14.625643,128
Sgt. Rivera,120.993761,14.644163,129
Balintawak Bus Terminal,121.000165,14.656997,130
Pinaglabanan,121.027037,14.607632,131
Valencia,121.03546,14.61174,132
Quezon Institute,121.012688,14.618816,133
K. Hari,121.030691,14.623811,134
Rotonda,121.002129,14.617908,135
DFA,120.9896,14.53003,136
Makati Avenue,121.02744,14.561539,137
Legarda Street,120.990665,14.6004,138
C-5 R-7,121.070607,14.665196,139
Timog Avenue,121.026666,14.637259,140
Mindanao Avenue - Fairview,121.051876,14.721359,141
EDSA Carousel - Buendia,121.03404,14.555065,142
Bagong Silang Market,121.044686,14.774558,143
Camarin,121.043917,14.768261,144
